Key No.,Property Type ,Acquired,Total Mgt. Expenses,Closed,Sale Price
3271020000,Duplex,2013-10-14,1568.81,2017-09-28,3000
3280307000,Single Family,2017-06-07,1424.02,2017-12-18,1
3280333000,Single Family,2012-12-17,1771.02,2017-01-12,5000
3280359000,Duplex,2015-06-08,2546.32,2017-10-05,10750
3280932000,Single Family,2016-09-08,3844.01,2017-05-16,1
3281228000,Com/Res,2012-07-09,2095.54,2017-06-09,15000
3281829000,Duplex,2016-06-13,2666.34,2017-05-04,20000
3291459000,Single Family,2016-01-04,6273.48,2017-05-03,12450
3291849000,Duplex,2016-12-12,2049.61,2017-08-28,1
3291873000,Church,2016-07-11,1087.33,2017-06-23,10000
3470380000,Duplex,2016-01-04,890.8,2017-10-03,1
3470812000,Duplex,2016-10-31,6565.02,2017-11-01,1
3480287000,Multi-Family,2015-07-13,505.53,2017-03-17,1000
3480329000,Single Family,2014-07-14,1423.65,2017-09-27,1
3480337000,Duplex,2016-09-08,882.32,2017-09-27,1
3480422000,Duplex,2017-06-07,2875.59,2017-09-27,1
3480712000,Duplex,2013-12-02,11939.9,2017-09-05,1
3480725000,Duplex,2016-06-13,4767.96,2017-01-05,8000
3480972000,Com/Res,2014-06-02,1397.12,2017-03-15,7500
3481401000,Single Family,2014-11-11,1070.64,2017-03-16,1
3481412000,Duplex,2016-12-12,300.65,2017-07-26,5500
3490524000,Single Family,2015-07-13,1352.33,2017-01-04,1000
3490531000,Duplex,2015-11-16,1288.71,2017-10-03,1
3490715000,Duplex,2016-06-13,3857.02,2017-03-16,5100
3490887100,Single Family,2016-07-11,258.1,2017-05-30,5000
3491589000,Duplex,2016-10-31,3703.2,2017-09-27,1
3491812000,Single Family,2016-06-13,1753,2017-06-23,1
3501005100,Single Family,2017-07-25,318.92,2017-12-19,5400
3501242000,Duplex,2016-09-08,862.15,2017-04-13,4000
3501601000,Single Family,2016-12-12,902.72,2017-07-13,6375
3501602000,Single Family,2016-10-31,2162.86,2017-09-27,2500
3502009000,Duplex,2016-07-11,5715.32,2017-10-16,2001
3502032100,Duplex,2016-12-12,975.79,2017-05-16,1
3502033000,Duplex,2016-06-13,2659.88,2017-02-07,4500
3502075100,Single Family,2017-06-07,8101.24,2017-12-27,3750
3502401000,Single Family,2015-07-13,4386.52,2017-02-23,8500
3503872000,Single Family,2016-07-11,86.83,2017-11-01,1
3511129000,Single Family,2016-12-12,2704.9,2017-07-24,4125
3511918000,Duplex,2017-06-07,916.79,2017-11-02,3750
3522118110,Single Family,2016-01-04,2441.71,2017-02-10,41250
