"Key No.","Property Type","Acquired","Total Mgt. Expenses","Closed","Sale Price"
2851119000,"Single Family","2009-07-20",2494.96,"2015-12-30",1
2851303000,"Duplex","2014-11-11",3068.14,"2015-05-01",4100
2851332000,"Duplex","2015-01-05",428.81,"2015-10-01",2800
2851341000,"Single Family","2013-12-02",3130.78,"2015-09-28",6300
2851384000,"Single Family","2010-07-26",25042.23,"2015-01-09",4550
2851411000,"Duplex","2015-06-08",415.02,"2015-12-09",3675
2851628000,"Multi-Family","2011-06-29",1670.65,"2015-08-24",2500
2851642000,"Duplex","2014-11-11",4029.92,"2015-07-22",1000
2851740000,"Single Family","2012-10-08",1532.29,"2015-12-30",1
2851818000,"Duplex","2012-10-08",4281.18,"2015-04-27",4900
2852231000,"Single Family","2012-10-08",2120.9,"2015-12-30",1
2860215000,"Multi-Family","2014-06-02",224.97,"2015-12-30",1
2860216000,"Duplex","2013-08-16",2557,"2015-12-30",1
2860247000,"Duplex","2013-12-02",1098.64,"2015-12-30",1
2860261000,"Duplex","2013-10-14",257.93,"2015-12-30",1
2860296000,"Single Family","2012-12-17",7064.53,"2015-01-05",7000
2860299000,"Duplex","2015-07-13",198.19,"2015-12-30",1
2860404000,"Duplex","2014-07-14",739.34,"2015-03-05",11250
2860606000,"Single Family","2013-08-16",259.6,"2015-01-27",2500
2860621000,"Multi-Family","2014-06-02",762.98,"2015-12-30",1
2860788000,"Single Family","2014-09-15",59.29,"2015-08-13",2500
2861014000,"Duplex","2012-07-09",1636.32,"2015-12-30",1
2861111000,"Duplex","2012-10-08",3248.76,"2015-12-30",1
2870112000,"Single Family","2015-01-05",1466.78,"2015-10-14",20000
2870116000,"Single Family","2012-12-17",1837.74,"2015-08-26",4000
2870405100,"Duplex","2012-12-17",4494,"2015-03-02",5125
2870736000,"Duplex","2015-01-05",1964.58,"2015-09-28",12000
2870762000,"Single Family","2015-01-05",183.39,"2015-06-05",7800
2870765000,"Duplex","2014-09-15",2238.65,"2015-09-24",1
2870823000,"Duplex","2014-07-14",180.72,"2015-10-28",2500
2870839000,"Duplex","2014-06-02",1054.51,"2015-05-19",5025
2871138000,"Single Family - 2","2014-07-14",99.73,"2015-10-15",5000
2871178000,"Duplex","2015-01-05",373.03,"2015-06-09",3900
2871346000,"Single Family","2014-07-14",2304.13,"2015-03-09",8250
2871510000,"Duplex","2015-06-08",3196.44,"2015-12-11",15000
2879981000,"Single Family","2014-09-15",1553.52,"2015-07-30",1
2880308000,"Single Family","2015-01-05",386.23,"2015-11-02",19500
2880657000,"Single Family","2014-09-15",933.81,"2015-10-14",5000
3060151000,"Single Family","2014-09-15",586.35,"2015-09-29",4000
3060440000,"Single Family","2014-06-02",2157.94,"2015-03-06",5900
3060554000,"Single Family","2013-12-02",2185.92,"2015-08-12",1
3070482000,"Duplex","2014-06-02",2980.72,"2015-08-27",10125
3070917000,"Duplex","2012-10-08",3702.81,"2015-01-15",12623
3070997000,"Duplex","2014-11-11",906.12,"2015-05-15",4000
3071005000,"Duplex","2010-07-26",1482.85,"2015-03-27",3000
3071103000,"Duplex","2014-06-02",470.86,"2015-09-16",1
3071184000,"Single Family","2015-06-08",136.47,"2015-09-02",1000
3071230000,"Duplex","2014-11-11",4510.14,"2015-10-12",6001
3080144000,"Single Family","2014-09-15",711.26,"2015-04-24",12100
3080368000,"Store - Apts","2013-10-14",170.39,"2015-06-29",11500
3080453000,"Single Family","2015-01-05",632.79,"2015-07-23",6000
3080630000,"Single Family","2014-07-14",9799.44,"2015-11-02",1000
3080731000,"Duplex","2012-07-09",11928.4,"2015-05-27",3000
3080852000,"Duplex","2014-06-02",1069.72,"2015-09-02",6075
3080898000,"Duplex","2014-07-14",733.53,"2015-10-14",3500
3080905000,"Duplex","2014-07-14",1760.18,"2015-03-03",2625
3080947100,"Duplex","2014-09-15",1060.02,"2015-07-22",4600
3080957000,"Single Family","2013-08-16",2561.37,"2015-06-15",2500
3080976000,"Single Family","2013-10-14",1502.5,"2015-08-20",2500
3080979000,"Single Family","2014-06-02",580.62,"2015-07-02",3008
3080990000,"Duplex","2014-07-14",1109415.06,"2015-10-13",14400
3081134000,"Duplex","2015-01-05",1060.69,"2015-07-30",3000
3081142000,"Single Family","2014-06-02",992.42,"2015-09-14",1
3090182000,"Duplex","2014-06-02",5644.48,"2015-09-02",1
3090187000,"Single Family","2015-06-08",3429.57,"2015-12-02",3500
3090223000,"Duplex","2013-10-14",1963.65,"2015-12-01",2500
3090233000,"Duplex","2014-11-11",1920.03,"2015-12-01",2500
3090357000,"Duplex","2014-09-15",1184.89,"2015-08-05",3750
3090652000,"Duplex","2015-01-05",2274.39,"2015-12-30",3000
3090841000,"Single Family","2014-07-14",788.96,"2015-04-08",3000
3090845000,"Duplex","2015-06-08",557.5,"2015-12-11",10000
3090902000,"Duplex","2014-06-02",5725.09,"2015-11-13",2500
3090906000,"Duplex","2014-07-14",1066.3,"2015-04-10",3750
3091032100,"Single Family","2014-07-14",1017.39,"2015-06-02",1
3091118000,"Child Day Care","2013-08-16",2272.04,"2015-10-06",18000
3100215000,"Single Family","2014-07-14",10000000005776.4,"2015-11-16",2625
3100333100,"Duplex","2014-11-11",644.66,"2015-09-10",2500
3100411000,"Single Family","2014-09-15",459.86,"2015-10-01",3750
3100592000,"Single Family","2013-12-02",1380.27,"2015-03-06",4000
3101014000,"Single Family","2012-07-09",7814.64,"2015-08-10",2850
3101203000,"Duplex","2014-07-14",1084.52,"2015-05-29",3550
3101325000,"Single Family","2014-09-15",1126.78,"2015-02-25",4000
3101891000,"Duplex","2014-06-02",2984.59,"2015-01-07",6107
3101893000,"Duplex","2014-07-14",8506.21,"2015-03-05",3675
3101921000,"Single Family - 2","2012-10-08",3486.84,"2015-08-26",2500
3102004000,"Duplex","2014-09-15",910.82,"2015-05-15",4000
3102502000,"Duplex","2014-07-14",243.92,"2015-04-17",3750
3102517000,"Single Family","2014-06-02",869.99,"2015-10-21",2500
3102540000,"Duplex","2014-11-11",363.77,"2015-04-28",3600
3109991100,"Single Family","2015-01-05",332,"2015-08-05",7000
3111042000,"Single Family","2013-10-14",308.77,"2015-09-29",1875
3111295000,"Duplex","2014-09-15",816.97,"2015-03-19",5100
3111756000,"Single Family","2013-08-16",5338.99,"2015-06-12",7500
3111896000,"Multi-Family","2012-10-08",2541.63,"2015-09-21",2500
3112011000,"Single Family","2013-12-02",644.17,"2015-02-16",4000
3120001000,"Single Family","2014-07-14",2483.84,"2015-03-18",7000
3120125000,"Single Family","2011-11-14",9611.07,"2015-01-20",3125
3120607000,"Duplex","2013-10-14",1400.28,"2015-10-28",2500
3121427000,"Duplex","2014-06-02",2888.45,"2015-02-06",3800
3123211000,"Duplex","2014-09-15",5235.5,"2015-06-15",3800
3129944000,"Duplex","2012-12-17",1327.68,"2015-02-16",3750
3131324000,"Duplex","2013-10-14",2063.84,"2015-09-23",15055
3132245000,"Duplex","2013-08-16",1222.94,"2015-11-09",4500
3140014000,"Single Family","2015-01-05",91.71,"2015-06-15",48600
3140932000,"Duplex & Single Family","2014-07-14",1850.85,"2015-01-23",43500
3211245000,"Duplex & Single Family","2015-01-05",2165.12,"2015-10-29",11250
3211433000,"Duplex & Single Family","2014-06-02",3171.88,"2015-07-28",46000
3211495000,"Duplex","2014-11-11",1578.66,"2015-09-28",23000
3220111211,"Duplex","2015-06-08",2813.77,"2015-11-13",20000
3220413000,"Duplex","2013-12-02",2057.44,"2015-06-30",3600
3220610000,"Duplex","2014-07-14",5754.49,"2015-07-23",7400
3221004100,"Duplex","2015-06-08",1928.04,"2015-12-01",9525
3221195000,"Duplex","2015-01-05",1640.86,"2015-08-27",5250
3221196000,"Duplex","2015-01-05",1236.15,"2015-07-30",3750
3230031000,"Single Family","2014-09-15",358.54,"2015-08-24",2625
3231067000,"Single Family","2012-07-09",1052.17,"2015-03-10",1000
3231125100,"Duplex","2013-10-14",2322.21,"2015-03-24",5600
