Property Type,Acquired,Count,Total Mgt. Expenses,Closed,Sale Price
Single Family,6/2/2014,1,1179.83,1/22/2015,7200
Duplex,6/2/2014,1,515.17,1/23/2015,7000
Duplex & Single Family,7/14/2014,1,1850.85,1/23/2015,43500
Duplex,10/14/2013,1,1499.75,1/23/2015,4500
Duplex,6/2/2014,1,3556.53,1/26/2015,1000
Single Family,6/2/2014,1,657.18,1/26/2015,1000
Duplex,6/2/2014,1,1237.52,1/27/2015,1000
Single Family,8/16/2013,1,259.6,1/27/2015,2500
Duplex,6/2/2014,1,1257.4,1/30/2015,24750
Condominium,12/2/2013,1,5204.73,1/30/2015,1013.25
Single Family,6/2/2014,1,1962.31,2/3/2015,9300
