Key No.,Property Type ,Acquired,Total Mgt. Expenses,Closed,Sale Price
2710433000,Single Family,2013-10-14,"$5.569,38",2014-06-27,"$5,000,00"
2710663000,Duplex,2012-10-08,"$1.909,54",2014-02-25,"$7,500,00"
2710894000,Single Family,2013-08-16,"$265,10",2014-03-21,"$1,000,00"
2712515000,Single Family,2013-08-16,"$1.503,89",2014-05-21,"$1,026,00"
2712538000,Single Family,2013-08-16,"$5.951,18",2014-05-21,"$1,019,00"
2712600000,Single Family,2012-10-08,"$736,41",2014-04-25,"$5,013,00"
2721310000,Duplex,2013-10-14,"$1.978,65",2014-12-09,"$5,775,00"
2722334000,Duplex,2012-07-09,"$1.996,71",2014-03-24,"$3,000,00"
2722355100,Duplex,2011-11-14,"$1.438,73",2014-03-21,"$5,000,00"
2722518000,Single Family,2013-10-14,"$534,50",2014-10-09,"$4,172,00"
2722717000,Single Family,2012-12-17,"$797,98",2014-06-06,"$5,000,00"
2722902000,Single Family,2012-12-17,"$1.891,73",2014-10-30,"$8,500,00"
2730510100,Duplex,2012-01-30,"$9.996,74",2014-04-09,"$5,000,00"
2731316000,Duplex,2013-10-14,"$2.665,59",2014-10-30,"$6,000,00"
2731402000,Single Family,2013-08-16,"$496,16",2014-08-05,"$4,950,00"
2731409000,Single Family,2012-07-09,"$2.534,76",2014-02-20,"$1,000,00"
2731415000,Single Family,2011-06-29,"$2.083,24",2014-06-06,"$5,625,00"
2810351000,Single Family,2013-10-14,"$1.722,51",2014-06-27,"$13,000,00"
2820312100,Single Family,2013-10-14,"$273,67",2014-05-23,"$3,314,00"
2820336000,Duplex,2013-08-16,"$4.299,96",2014-09-30,"$1,000,00"
2821815100,Single Family,2013-08-16,"$139,22",2014-06-13,"$3,300,00"
2822635000,Single Family,2012-10-08,"$36,647,00",2014-02-24,"$2,600,00"
2822742000,Duplex,2013-08-16,"$103,397,00",2014-09-10,"$1,000,00"
2830382000,Duplex,2013-10-14,"$2.283,86",2014-12-19,"$1,039,00"
2830635000,Duplex,2011-06-29,"$1.053,19",2014-06-13,"$3,975,00"
2830638000,Duplex,2011-11-14,"$915,73",2014-06-13,"$3,750,00"
2830650100,Duplex,2013-10-14,"$88.828,28",2014-12-09,"$2,500,00"
2830698110,Duplex,2011-11-14,"$2.626,57",2014-06-13,"$3,750,00"
2831069000,Single Family,2013-08-16,"$149,21",2014-10-10,"$4,160,00"
2831071000,Duplex & Single Family,2012-12-17,"$5.713,61",2014-01-03,"$3,500,00"
2831228000,Duplex,2013-08-16,"$800,57",2014-04-11,"$3,000,00"
2850466100,Duplex,2013-10-14,"$3.350,88",2014-09-10,"$11,025,00"
2850783000,Single Family,2011-09-16,"$10.229,79",2014-11-13,"$2,500,00"
2850865000,Multi-Family,2012-01-30,"$1.634,33",2014-09-30,"$1,00"
2851309000,Single Family,2012-10-08,"$2.939,22",2014-02-25,"$10,000,00"
2851314000,Single Family,2012-12-17,"$2.868,22",2014-11-13,"$3,000,00"
2851612000,Single Family,2009-07-20,"$3.357,64",2014-08-29,"$5,000,00"
2851903000,Single Family,2013-10-14,"$771,24",2014-11-13,"$3,500,00"
2860016000,Single Family,2011-09-16,"$3.508,71",2014-09-30,"$1,00"
2860213000,Single Family,2011-11-14,"$862,71",2014-09-30,"$1,00"
2860258000,Single Family,2013-08-16,"$4.372,26",2014-04-11,"$9,000,00"
2860607000,Single Family,2012-10-08,"$871,36",2014-09-30,"$1,00"
2860945000,Duplex,2011-11-14,"$16.296,87",2014-02-06,"$2,870,00"
2870410000,Duplex,2012-10-08,"$6.738,89",2014-04-11,"$4,000,00"
2870538000,Duplex,2013-12-02,"$786,66",2014-09-30,"$1,00"
2870541000,Single Family - 2,2013-08-16,"$1.739,95",2014-05-09,"$13,000,00"
2870722000,Duplex,2012-10-08,"$1.550,52",2014-03-25,"$7,000,00"
2871111000,Single Family,2010-07-26,"$474,59",2014-09-30,"$1,00"
2871917000,Single Family,2013-08-16,"$5.238,85",2014-03-07,"$4,800,00"
2880814000,Single Family,2012-12-17,"$7.827,73",2014-04-04,"$40,000,00"
2890626000,Duplex,2012-10-08,"$5.937,57",2014-07-07,"$14,500,00"
2940053000,Single Family,2013-10-14,"$2.179,69",2014-09-08,"$58,000,00"
3060798000,Single Family,2012-07-09,"$3.750,29",2014-02-13,"$11,000,00"
3070310000,Duplex,2012-10-08,"$762,11",2014-01-14,"$6,750,00"
3071040000,Duplex,2013-08-16,"$895,66",2014-11-04,"$7,100,00"
3080024000,Duplex,2013-08-16,"$888,55",2014-10-03,"$2,700,00"
3080162000,Single Family,2013-10-14,"$3.086,53",2014-10-09,"$11,250,00"
3080181000,Single Family,2013-12-02,"$940,11",2014-09-30,"$1,00"
3080376000,Duplex,2013-12-02,"$608,34",2014-09-30,"$1,00"
3080389000,Duplex,2012-01-30,"$5.717,55",2014-09-30,"$1,00"
3080396000,Duplex,2012-12-17,"$3.485,79",2014-09-30,"$1,00"
3080713000,Single Family,2013-08-16,"$551,17",2014-07-11,"$8,250,00"
3080768000,Single Family,2013-10-14,"$2.366,93",2014-05-14,"$8,000,00"
3080885000,Single Family,2012-01-30,"$1.682,15",2014-09-30,"$1,00"
3080931000,Single Family,2010-07-26,"$613,46",2014-09-30,"$1,00"
3080943000,Duplex,2014-06-02,"$1,386,00",2014-12-04,"$11,250,00"
3080949000,Duplex,2012-10-08,"$5.645,88",2014-07-30,"$4,600,00"
3080971000,Single Family,2012-10-08,"$3.039,58",2014-02-21,"$18,400,00"
3081137000,Single Family,2013-12-02,"$1.136,71",2014-10-29,"$8,000,00"
3090846000,Duplex,2011-11-14,"$547,47",2014-09-30,"$1,00"
3100158000,Single Family,2012-12-17,"$1.386,63",2014-09-30,"$1,00"
3100163000,Single Family,2012-10-08,"$1.536,93",2014-02-07,"$1,000,00"
3100868000,Single Family,2013-08-16,"$1.744,17",2014-09-18,"$3,000,00"
3101020000,Single Family,2013-12-02,"$5.262,28",2014-12-10,"$4,200,00"
3111403000,Single Family,2009-07-20,"$6.948,64",2014-11-24,"$2,625,00"
3111883131,Single Family,2013-08-16,"$5.929,78",2014-10-07,"$3,600,00"
3112088100,Duplex,2012-10-08,"$2.230,31",2014-09-17,"$1,00"
3120175000,Duplex,2013-10-14,"$874,72",2014-10-03,"$4,275,00"
3120919000,Single Family,2011-09-16,"$801,26",2014-09-17,"$1,00"
3121016111,Single Family,2013-08-16,"$623,32",2014-08-20,"$1,000,00"
3121218000,Single Family,2013-10-14,"$109,75",2014-09-17,"$1,00"
3121657000,Single Family,2013-10-14,"$8.262,95",2014-08-01,"$5,000,00"
