"Key No.","Property Type","Acquired","Total Mgt. Expenses","Closed","Sale Price "
2850633110,"Single Family","2015-07-13",1698.68,"2016-04-21",5625
2850714000,"Single Family","2015-09-14",2633.91,"2016-03-30",3000
2850753000,"Single Family","2015-07-13",757.13,"2016-05-10",5625
2850869000,"Duplex","2012-10-08",5908.4,"2016-04-07",6000
2850882100,"Duplex","2012-07-09",1854.07,"2016-02-02",2500
2851229000,"Duplex","2014-07-14",587.06,"2016-02-02",3750
2851247000,"Single Family","2012-12-17",1358.47,"2016-12-21",2500
2852137000,"Duplex","2015-11-16",1525.32,"2016-07-14",3000
2860231000,"Duplex","2015-09-14",1058.55,"2016-03-29",2500
2860248000,"Single Family","2012-07-09",8218.66,"2016-12-14",8475
2860608000,"Single Family","2015-01-05",2751.44,"2016-12-14",3000
2860650000,"Single Family","2015-07-13",8704.02,"2016-07-26",8100
2860702000,"Single Family","2013-10-14",2814.81,"2016-01-27",1
2860910000,"Duplex","2015-11-16",1989.64,"2016-05-24",5100
2860930000,"Duplex","2016-01-04",679.47,"2016-08-31",5000
2861061000,"Single Family","2015-11-16",1617.23,"2016-12-21",3000
2861088000,"Single Family","2015-09-14",712.64,"2016-07-20",7200
2861095000,"Duplex","2015-06-08",302.97,"2016-01-07",2500
2870055000,"Duplex","2016-01-04",2577.41,"2016-06-30",1000
2870080000,"Duplex","2015-07-13",176.93,"2016-06-02",3750
2870735000,"Single Family","2016-01-04",135.83,"2016-08-11",4100
2871174000,"Single Family","2016-01-04",2065.67,"2016-09-22",5000
2880058000,"Duplex","2014-07-14",1421.96,"2016-02-03",20000
2880392000,"Single Family","2014-09-15",2886.66,"2016-09-13",1
2880692000,"Duplex","2015-06-08",1345.48,"2016-08-04",30000
2890190000,"Duplex","2015-09-14",2134.12,"2016-03-22",70700
2890370000,"Retail/Residential","2009-07-20",3906.13,"2016-07-20",15000
2890521000,"Single Family","2015-11-16",2096.26,"2016-07-01",42000
2890579000,"Single Family","2015-11-16",909.88,"2016-05-12",1000
3020883000,"Single Family","2016-01-04",6866.56,"2016-07-26",36000
3059990000,"Office/Apartments","2010-07-26",3691.04,"2016-07-11",15000
3060529000,"Duplex","2015-11-16",1402.35,"2016-06-28",12000
3060555000,"Single Family","2013-08-16",10796.43,"2016-03-10",1000
3060833000,"Single Family","2015-09-14",1023.95,"2016-06-14",26250
3061112000,"Duplex","2015-11-16",827.1,"2016-08-03",13350
3061173000,"Single Family","2014-06-02",2873.82,"2016-06-15",1000
3061389000,"Duplex & Single Family","2010-07-26",14825.28,"2016-03-03",1
3070059000,"Duplex","2015-09-14",3501.61,"2016-07-06",20000
3070398000,"Single Family","2015-06-08",335.15,"2016-02-24",1000
3070648000,"Duplex","2016-06-13",590.93,"2016-12-15",28000
3070662000,"Single Family","2016-01-04",1069.99,"2016-07-26",21000
3070677000,"Duplex","2015-11-16",2001.26,"2016-05-24",8000
3071155000,"Duplex","2015-11-16",4372.06,"2016-06-07",3800
3071168000,"Single Family","2016-01-04",154.1,"2016-11-29",14000
3071204000,"Duplex","2015-09-14",1867.71,"2016-06-16",4600
3080029000,"Duplex","2013-08-16",1334.99,"2016-11-09",7500
3080041000,"Duplex","2014-09-15",1342.07,"2016-12-15",3800
3080327000,"Single Family","2016-01-04",1189.34,"2016-10-05",11000
3080398000,"Duplex","2015-11-16",2625.45,"2016-11-02",2500
3080767000,"Single Family","2015-06-08",1115.72,"2016-01-28",1000
3080772000,"Single Family","2015-09-14",1135.84,"2016-05-12",4000
3080777000,"Duplex","2014-06-02",3582.94,"2016-02-02",3000
3080816000,"Duplex","2016-01-04",2389.97,"2016-07-12",15000
3080817000,"Single Family","2015-07-13",427.65,"2016-08-25",2500
3080846000,"Duplex","2016-06-13",3731.86,"2016-11-15",12000
3080882000,"Single Family","2015-07-13",1703.21,"2016-06-02",5000
3080916000,"Duplex","2015-09-14",929.79,"2016-05-18",7500
3080921000,"Single Family","2015-06-08",635.19,"2016-02-04",3750
3080933000,"Single Family","2016-01-04",1371.37,"2016-12-28",2500
3080991000,"Single Family","2015-07-13",1200.73,"2016-09-01",5000
3090172000,"Single Family","2012-10-08",1964.57,"2016-12-21",2500
3090206000,"Single Family","2009-07-20",2843.57,"2016-07-07",1000
3090377000,"Single Family","2012-07-09",6258.18,"2016-04-19",1000
3090618000,"Single Family","2013-08-16",3817.18,"2016-04-27",2625
3090651000,"Duplex","2013-12-02",1792.41,"2016-11-23",5000
3090834000,"Duplex","2014-09-15",4011.24,"2016-07-28",5000
3100436100,"Duplex","2014-11-11",1839.62,"2016-02-25",1000
3100537000,"Duplex","2013-12-02",4527.5,"2016-01-26",1
3100577000,"Single Family","2015-07-13",1383.23,"2016-09-22",5000
3100882000,"Single Family","2015-07-13",6238.74,"2016-09-29",4100
3101006000,"Single Family","2011-09-16",15844.98,"2016-03-17",2500
3101310000,"Single Family","2015-07-13",2739.37,"2016-10-27",3500
3101510000,"Single Family","2015-09-14",3283.72,"2016-09-22",2500
3102006000,"Duplex","2015-11-16",2556.37,"2016-06-15",5000
3102315000,"Single Family","2013-12-02",1484.68,"2016-12-21",2600
3109951000,"Single Family","2015-09-14",5821.35,"2016-06-23",2500
3111272100,"Duplex","2016-01-04",4878.59,"2016-08-30",6000
3111341000,"Duplex","2015-09-14",867.19,"2016-07-28",3150
3111390000,"Duplex","2015-09-14",8809.04,"2016-11-17",2925
3111614000,"Single Family","2015-07-13",463.86,"2016-03-23",3000
3111818100,"Duplex","2015-11-16",1901.94,"2016-06-09",4000
3112026000,"Duplex","2016-01-04",1655.97,"2016-10-13",2625
3112045000,"Single Family","2015-09-14",699.13,"2016-04-28",3000
3113004000,"Duplex","2015-11-16",5253.48,"2016-06-15",3000
3121018000,"Single Family","2015-07-13",556.53,"2016-05-04",2800
3122513100,"Duplex","2014-11-11",2058.17,"2016-05-04",2475
3130818000,"Duplex","2016-01-04",1604.69,"2016-12-28",2500
